Date,Open,High,Low,Close
02/24/2025,"6,026.69","6,043.65","5,977.83","5,983.25"
02/21/2025,"6,114.10","6,114.82","6,008.56","6,013.13"
02/20/2025,"6,134.50","6,134.50","6,084.59","6,117.52"
02/19/2025,"6,117.76","6,147.43","6,111.15","6,144.15"
02/18/2025,"6,121.60","6,129.63","6,099.51","6,129.58"
02/14/2025,"6,115.52","6,127.47","6,107.62","6,114.63"
02/13/2025,"6,060.59","6,116.91","6,050.95","6,115.07"
02/12/2025,"6,025.08","6,063.00","6,003.00","6,051.97"
02/11/2025,"6,049.32","6,076.28","6,042.34","6,068.50"
02/10/2025,"6,046.40","6,073.38","6,044.84","6,066.44"
02/07/2025,"6,083.13","6,101.28","6,019.96","6,025.99"
02/06/2025,"6,072.22","6,084.03","6,046.83","6,083.57"
02/05/2025,"6,020.45","6,062.86","6,007.06","6,061.48"
02/04/2025,"5,998.14","6,042.48","5,990.87","6,037.88"
02/03/2025,"5,969.65","6,022.13","5,923.93","5,994.57"
01/31/2025,"6,096.79","6,120.91","6,030.93","6,040.53"
01/30/2025,"6,050.75","6,086.64","6,027.46","6,071.17"
01/29/2025,"6,057.70","6,062.83","6,012.96","6,039.31"
01/28/2025,"6,026.97","6,074.54","5,994.63","6,067.70"
01/27/2025,"5,969.04","6,017.17","5,962.92","6,012.28"
